topic_id,category,pillar,title,observation,claim,novelty,scope,region,footage,demonstration,evidence_status,support_review,editorial_scores,editorial_note,sources,subject,claim_id
home-011,home,technology,Why a lint filter fills even with clean clothes,a lint filter fills even with clean clothes,"Mechanical movement releases loose textile fibres, which airflow carries to the filter.","Mechanical movement releases loose textile fibres, which airflow carries to the filter.",The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a lint filter fills even with clean clothes; start with the visible detail, then a different close-up of the same object.",Track a loose fibre from fabric to mesh.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.whirlpool.com/blog/washers-and-dryers/how-to-keep-clothes-from-pilling.html"", ""publisher"": ""whirlpool.com""}, {""url"": ""https://producthelp.whirlpool.com/Laundry/Dryers/Product_Info/Dryer_Cleaning_and_Care/Cleaning_the_Lint_Screen_and_Filter_on_a_HybridCare_Dryer"", ""publisher"": ""whirlpool.com""}, {""url"": ""https://www.whirlpool.com/blog/washers-and-dryers/how-to-remove-lint-from-clothes.html"", ""publisher"": ""whirlpool.com""}]",dryers,mechanism-a19fba85c71a3fc1
home-012,home,technology,Why a vacuum changes pitch when its hose is blocked,a vacuum changes pitch when its hose is blocked,A blockage changes airflow and the operating load on the motor and fan.,A blockage changes airflow and the operating load on the motor and fan.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a vacuum changes pitch when its hose is blocked; start with the visible detail, then a different close-up of the same object.",Compare open and obstructed airflow paths.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://media.dyson.com/downloads/UK/floorcare/Manuals/dc01_abs_manual_uk.pdf"", ""publisher"": ""dyson.com""}, {""url"": ""https://au-fit31.commerce.dyson.com/products/vacuum-cleaners/dyson-omni-glide-vacuum/owners-guide"", ""publisher"": ""dyson.com""}, {""url"": ""https://media.dyson.com/downloads/us/floorcare/manuals/dc11_opmanual_usa.pdf"", ""publisher"": ""dyson.com""}]",vacuum-cleaners,mechanism-abca15a88932c58c
home-013,home,technology,Why a bagless vacuum spins dust in circles,a bagless vacuum spins dust in circles,Cyclonic airflow separates particles from air by making the air turn sharply.,Cyclonic airflow separates particles from air by making the air turn sharply.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a bagless vacuum spins dust in circles; start with the visible detail, then a different close-up of the same object.",Trace particles leaving a curved airflow path.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.dyson.com/discover/innovation/behind-the-invention/dyson-relentless-engineerin"", ""publisher"": ""dyson.com""}, {""url"": ""https://www.dyson.com/discover/innovation/behind-the-invention/filtration-at-dyson"", ""publisher"": ""dyson.com""}, {""url"": ""https://media.dyson.com/downloads/SG/floorcare/floorcare_brochure.pdf"", ""publisher"": ""dyson.com""}]",vacuum-cleaners,mechanism-ed791d80270b1aa0
home-014,home,technology,Why your robot vacuum can miss a black rug,your robot vacuum can miss a black rug,Some cliff-sensor systems can interpret a dark floor as a drop-off and cause the robot to back away instead of cleaning it.,A flat dark patch can be mistaken for a drop by the specified cliff-sensor design.,Roomba designs covered by this support article; not every robot or black carpet. Do not suggest disabling safety sensors.,Global where the specified design is used,"Film your robot vacuum can miss a black rug; start with the visible detail, then a different close-up of the same object.","Show a labelled illustrative sensor decision: dark surface is classified as a drop, then the robot reverses; do not depict bypassing sensors.",reviewed,"{""reviewed_at"": ""2026-09-17T03:24:08.918213+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Some cliff-sensor systems can interpret a dark floor as a drop-off and cause the robot to back away instead of cleaning it."", ""scope"": ""Roomba designs covered by this support article; not every robot or black carpet. Do not suggest disabling safety sensors.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://homesupport.irobot.com/articles/en_US/Knowledge/8960"", ""publisher"": ""irobot.com"", ""passage"": ""Roomba’s Cliff Sensors can sometimes see dark surfaces as drop-offs."", ""retrieved_at"": ""2026-09-16T05:10:50.224264+00:00""}]",robot-vacuums,mechanism-e2fc9b650fca29f3
home-015,home,technology,Why induction hobs ignore some metal pans,induction hobs ignore some metal pans,"Heating depends on coupling the magnetic field into compatible cookware, not simply on metal being present.",Two metal pans on the same hob can behave differently because being metal is not the whole requirement.,Induction-compatible cookware with suitable magnetic coupling; not every metal pan is compatible.,Global where the specified design is used,"Film induction hobs ignore some metal pans; start with the visible detail, then a different close-up of the same object.",Compare field coupling under two pan bases.,reviewed,"{""reviewed_at"": ""2026-09-16T05:14:58.062998+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""Heating depends on coupling the magnetic field into compatible cookware, not simply on metal being present."", ""scope"": ""Induction-compatible cookware with suitable magnetic coupling; not every metal pan is compatible.""}","{""recognition"": 3, ""overlooked_detail"": 4, ""payoff"": 4, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://www.bosch-home.com/us/owner-support/get-support/what-is-induction-cookware"", ""publisher"": ""bosch-home.com"", ""passage"": ""Induction cookware works by using a magnetic field under the cooktop's surface"", ""retrieved_at"": ""2026-09-16T05:10:50.945963+00:00""}]",induction-hobs,mechanism-20471a5a58efb387
home-016,home,technology,Why an induction hob clicks at low power,an induction hob clicks at low power,Some controls regulate average heating by cycling power rather than running continuously.,Some controls regulate average heating by cycling power rather than running continuously.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film an induction hob clicks at low power; start with the visible detail, then a different close-up of the same object.",Show short power pulses beneath a pan.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://image-us.samsung.com/SamsungUS/dacor/products/cooking/ranges/hipr30s/download/HIPR36S-User-Manual.pdf"", ""publisher"": ""samsung.com""}, {""url"": ""https://images.samsung.com/is/content/samsung/assets/sg/cooking-appliances/hobs/nz8500bm-bepoke-induction-hob-dual-flex-zone-auto-connectivity-smartthings-cooking-nz64b5067yy-sp.pdf"", ""publisher"": ""samsung.com""}, {""url"": ""https://www.samsung.com/us/support/troubleshoot/TSG10007324/"", ""publisher"": ""samsung.com""}]",induction-hobs,mechanism-c387bc73cd22b1eb
home-017,home,technology,Why microwaves leave cold spots in the middle,microwaves leave cold spots in the middle,The electromagnetic field and food geometry produce uneven energy absorption.,The electromagnetic field and food geometry produce uneven energy absorption.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film microwaves leave cold spots in the middle; start with the visible detail, then a different close-up of the same object.",Move a plate through a field heat map.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.fda.gov/radiation-emitting-products/resources-you-radiation-emitting-products/microwave-ovens"", ""publisher"": ""fda.gov""}, {""url"": ""https://www.fda.gov/media/90663/download"", ""publisher"": ""fda.gov""}, {""url"": ""https://www.fda.gov/files/food/published/Kinetics-of-Microbial-Inactivation-for-Alternative-Food-Processing-Technologies.pdf"", ""publisher"": ""fda.gov""}]",microwave-ovens,mechanism-8f083e66cf6d32b6
home-018,home,technology,Why the microwave door has a metal mesh,the microwave door has a metal mesh,Its small openings impede microwave transmission while allowing visible light through.,Its small openings impede microwave transmission while allowing visible light through.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film the microwave door has a metal mesh; start with the visible detail, then a different close-up of the same object.",Compare the two wavelengths at the screen.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.fda.gov/downloads/Radiation-EmittingProducts/RadiationEmittingProductsandProcedures/HomeBusinessandEntertainment/UCM119038.pdf"", ""publisher"": ""fda.gov""}, {""url"": ""https://www.fda.gov/about-fda/forms/guidance-preparing-reports-radiation-safety-microwave-ovens-pdf"", ""publisher"": ""fda.gov""}, {""url"": ""https://www.fda.gov/media/124631/download"", ""publisher"": ""fda.gov""}]",microwave-ovens,mechanism-66db348a20162b68
home-019,home,technology,Why your kettle knows when to switch itself off,your kettle knows when to switch itself off,"In a steam-operated kettle, steam travels down a channel to the control, which disconnects the heater when boiling is detected.","The switch can react to steam routed away from the water, rather than simply waiting a fixed time.",Steam-operated kettle controls illustrated by Strix; some electronic kettles use other sensing designs.,Global where the specified design is used,Show the kettle switch clicking off and a close-up of its spout; keep the real appliance intact.,"Draw a kettle cutaway with a steam path to a separate switch, then open the heater circuit when steam reaches it.",reviewed,"{""reviewed_at"": ""2026-09-17T03:43:31.657870+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""In a steam-operated kettle, steam travels down a channel to the control, which disconnects the heater when boiling is detected."", ""scope"": ""Steam-operated kettle controls illustrated by Strix; some electronic kettles use other sensing designs.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 4, ""evidence"": 3, ""visuals"": 4}",Replaced the held obvious-utility angle with a distinct supported mechanism; original research draft retained in category input for audit.,"[{""url"": ""https://strix.com/docs/2022/ketl-aim-admission-document-08-08-17_e81e9e5e49.pdf"", ""publisher"": ""strix.com"", ""passage"": ""When boiled, steam is released down a tube activating the safety control"", ""retrieved_at"": ""2026-09-17T03:42:11.164649+00:00""}]",electric-kettle,mechanism-f5fba3e52e8ad5d3
home-020,home,technology,Why your oven's heating element goes dark before cooking ends,your oven's heating element goes dark before cooking ends,An oven cycles its heating elements on and off during cooking to regulate temperature.,A thermostat cycles heating around the target rather than holding the element permanently on.,Electric oven heating elements cycling during temperature regulation; distinguish from the oven's interior light.,Global where the specified design is used,"Film the oven light turns off before the oven cools; start with the visible detail, then a different close-up of the same object.",Plot temperature and heating pulses.,reviewed,"{""reviewed_at"": ""2026-09-16T05:14:58.062998+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""An oven cycles its heating elements on and off during cooking to regulate temperature."", ""scope"": ""Electric oven heating elements cycling during temperature regulation; distinguish from the oven's interior light.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 3, ""visuals"": 3}",,"[{""url"": ""https://producthelp.whirlpool.com/Cooking/Wall_Ovens_and_Ranges/Ranges/Oven_Concerns/Oven_Not_Working/Electric_Oven/Oven_Elements_Turning_On%2F%2FOff_-_Electric_Range"", ""publisher"": ""whirlpool.com"", ""passage"": ""It is normal for the oven elements (bake and broil) to turn off and on during a cycle"", ""retrieved_at"": ""2026-09-16T05:10:54.329471+00:00""}]",ovens,mechanism-2d0303a8f7c49842
home-021,home,technology,Why an oven door has several layers of glass,an oven door has several layers of glass,Air spaces and multiple panes reduce heat transfer to the outer surface.,Air spaces and multiple panes reduce heat transfer to the outer surface.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film an oven door has several layers of glass; start with the visible detail, then a different close-up of the same object.",Draw a cutaway with heat-flow arrows.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://media3.bosch-home.com/Documents/9000175024_B.pdf"", ""publisher"": ""bosch-home.com""}, {""url"": ""https://media3.bosch-home.com/Documents/16169933_AW_Built-in_Catalogue_2020_Ebook.pdf"", ""publisher"": ""bosch-home.com""}, {""url"": ""https://media3.bosch-home.com/Documents/9001944780_C.pdf"", ""publisher"": ""bosch-home.com""}]",ovens,mechanism-3e164c392ae8f9f7
home-022,home,technology,Why toaster slots sometimes heat unevenly,toaster slots sometimes heat unevenly,Element layout and bread position affect radiant heat reaching each face.,Element layout and bread position affect radiant heat reaching each face.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film toaster slots sometimes heat unevenly; start with the visible detail, then a different close-up of the same object.",Compare radiation paths to two slices.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://assets.breville.com/Instruction-Booklets/USCM/BOV670_USCM_IB_I21_FA_WEB.pdf"", ""publisher"": ""breville.com""}, {""url"": ""https://assets.breville.com/BOV800/BOV800XL_USC_IB_M23_LR.pdf"", ""publisher"": ""breville.com""}, {""url"": ""https://assets.breville.com/BTA850/BTA850_BTA870_ANZ_IB_A25_LR.pdf"", ""publisher"": ""breville.com""}]",toasters,mechanism-e201cfdf473040bf
home-023,home,technology,Why a toaster browns frozen bread without raising the lever twice,a toaster browns frozen bread without raising the lever twice,A defrost programme adds time for thawing before normal browning.,A defrost programme adds time for thawing before normal browning.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a toaster browns frozen bread without raising the lever twice; start with the visible detail, then a different close-up of the same object.",Show thawing and browning as separate stages.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.dualit.com/products/long-lite-toaster"", ""publisher"": ""dualit.com""}, {""url"": ""https://www.dualit.com/products/2-slice-lite-gloss?variant=45452829327671"", ""publisher"": ""dualit.com""}, {""url"": ""https://www.dualit.com/products/4-slice-refurbished-lite-toaster"", ""publisher"": ""dualit.com""}]",toasters,mechanism-e65f8df15a2388f0
home-024,home,technology,Why a rice cooker switches modes without a timer,a rice cooker switches modes without a timer,"While water remains, boiling limits pot temperature; a later temperature rise signals the switch.","While water remains, boiling limits pot temperature; a later temperature rise signals the switch.",The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film a rice cooker switches modes without a timer; start with the visible detail, then a different close-up of the same object.",Graph pot temperature across water depletion.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.zojirushi.com/blog/back-to-basics-conventional-rice-cookers/"", ""publisher"": ""zojirushi.com""}, {""url"": ""https://www.zojirushi.com/app/faq/rice-cookers"", ""publisher"": ""zojirushi.com""}, {""url"": ""https://www.zojirushi.com/blog/back-to-basics-what-is-micom-and-what-does-it-do/"", ""publisher"": ""zojirushi.com""}]",rice-cookers,mechanism-18a504a2ba8fbc2b
home-025,home,technology,Why the pressure cooker lid resists opening,the pressure cooker lid resists opening,A pressure interlock prevents opening while internal pressure remains elevated.,A pressure interlock prevents opening while internal pressure remains elevated.,Instant Pot pressure lid and float-valve design; never suggest forcing the lid open.,Global where the specified design is used,"Film the pressure cooker lid resists opening; start with the visible detail, then a different close-up of the same object.",Animate the locking pin rising.,reviewed,"{""reviewed_at"": ""2026-09-16T05:14:58.063998+00:00"", ""method"": ""Editorial comparison of stated mechanism with retrieved primary text"", ""finding"": ""A pressure interlock prevents opening while internal pressure remains elevated."", ""scope"": ""Instant Pot pressure lid and float-valve design; never suggest forcing the lid open.""}","{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 1, ""evidence"": 3, ""visuals"": 3}",Hold: the current angle mainly explains obvious utility; needs a less familiar mechanism before selection.,"[{""url"": ""https://instantpot.com/pages/frequently-asked-questions"", ""publisher"": ""instantpot.com"", ""passage"": ""If the float valve is still up and/or the lid is difficult to open"", ""retrieved_at"": ""2026-09-16T05:11:21.541404+00:00""}]",pressure-cookers,mechanism-f95db2376ce97ad3
home-026,home,technology,Why steam appears beyond the kettle spout,steam appears beyond the kettle spout,Visible mist forms when invisible water vapour cools into tiny droplets.,Visible mist forms when invisible water vapour cools into tiny droplets.,The specific product construction or system described by the primary source; not all designs.,Global where this design is used; verify local requirements before naming a rule.,"Film steam appears beyond the kettle spout; start with the visible detail, then a different close-up of the same object.",Show clear vapour becoming a white cloud.,pending_review,,"{""recognition"": 3, ""overlooked_detail"": 3, ""payoff"": 3, ""evidence"": 0, ""visuals"": 3}",,"[{""url"": ""https://www.usgs.gov/news/volcano-watch-atmospheric-nuclear-explosions-and-source-steaming-flats-water"", ""publisher"": ""usgs.gov""}, {""url"": ""https://www.usgs.gov/observatories/hvo/news/volcano-watch-colorful-plumes-can-we-see-volcanic-gases"", ""publisher"": ""usgs.gov""}, {""url"": ""https://water.usgs.gov/edu/watercycle-kids-int.html"", ""publisher"": ""usgs.gov""}]",electric-kettle,mechanism-7356d96811844f57
