title,category,viral_score
Why Black Friday Crowds Make You Spend More,Shopping,8.7
Why Stores Use Tiny Price Tags On Expensive Things,Shopping,9.1
Why Buy One Get One Isn't A Deal,Shopping,9.2
Why Loyalty Cards Track Everything You Buy,Shopping,9.4
Why The Last Item Feels More Valuable,Shopping,9.2
Why Empty Shelves Make You Buy Faster,Shopping,9.3
Why Mannequins Have No Faces,Shopping,9.4
Why Stores Keep It Slightly Too Cold,Shopping,8.8
Why The Cart Wheels Pull To One Side,Shopping,9.4
Why Receipts Are So Long Now,Shopping,8.9
Why Self Checkout Always Says Unexpected Item,Shopping,9.1
Why McDonald's Coke Tastes Different,Food,9.3
Why Movie Popcorn Costs More Than The Ticket,Food,9.0
Why The Ice Cream Machine Is Always Broken,Food,8.8
Why Your Small Drink Floods The Cup Holder,Food,9.2
Why Restaurants Give You Free Bread First,Food,9.2
Why Menus Have No Dollar Signs,Food,8.7
Why The Second Cheapest Wine Sells The Most,Food,9.1
Why Buffets Put Salad First,Food,8.7
Why Chip Bags Are Mostly Air,Food,9.2
Why Fast Food Fries Go Cold So Fast,Food,8.8
Why Pizza Comes In A Square Box,Food,9.2
Why The Drive Thru Order Is Always Wrong,Food,9.3
Why Restaurant Plates Are So Big Now,Food,9.0
Why Spicy Food Makes Your Nose Run,Food,9.8
Why Coffee Shops Are Always Slightly Loud,Food,9.5
Why The Best Items Are In The Menu Corner,Food,8.8
Why Cereal Boxes Have So Much Empty Space,Food,8.9
Why Soda Tastes Better From A Glass Bottle,Food,8.7
Why Fancy Restaurants Serve Tiny Portions,Food,8.7
Why The Bill Comes With Mints,Food,8.6
Why Kids Menus Have Mazes On Them,Food,9.2
Why Hot Food Smells Stronger Than Cold,Food,9.3
Why Fountain Drinks Taste Better Than Cans,Food,9.2
Why Chocolate Melts Right At Body Temperature,Food,8.6
Why You're Hungry An Hour After Chinese Food,Food,9.1
Why Restaurant Booths Feel More Private,Food,9.4
Why Ketchup Is So Hard To Pour,Food,9.2
Why Bread Goes Stale Faster In The Fridge,Food,9.2
Why Diet Soda Tastes Different,Food,8.9
Why The First Bite Tastes The Best,Food,9.3
Why Airports Make You Walk So Far,Airports,9.1
Why Your Gate Always Changes At The Last Minute,Airports,9.5
Why Airport Carpets Are So Ugly,Airports,9.1
Why TSA Makes You Remove Your Laptop,Airports,9.0
Why Airports Are Always Freezing,Airports,9.6
Why Duty Free Is After Security,Airports,8.7
Why Airport Chairs Have Armrests You Can't Lift,Airports,9.3
Why Boarding Takes Forever,Airports,9.0
Why Airports Announce Everything Twice,Airports,9.4
Why The Walk To Your Gate Is Always Uphill,Airports,9.9
Why Airport Food Costs Triple,Airports,9.2
Why Planes Board From The Front,Airports,8.9
Why Airport Windows Are So Huge,Airports,9.3
Why The Baggage Claim Is So Far From Arrivals,Airports,9.6
Why Airports Dim The Lights Before Landing,Airports,8.8
Why Window Shades Must Be Up For Takeoff,Airports,9.3
Why Airplane Windows Have A Tiny Hole,Airports,9.0
Why The Seatbelt Sign Stays On So Long,Airports,9.3
Why Airports Have So Many Moving Walkways,Airports,9.2
Why Your Suitcase Always Comes Out Last,Airports,9.8
Why Plane Cabins Smell The Same,Airports,9.2
Why Airports Use Confusing Zone Numbers,Airports,9.2
Why The Bathroom Is Always At The Back Of The Plane,Airports,9.4
Why Tray Tables Are So Small,Airports,9.5
Why Airlines Charge For Carry On Bags,Airports,8.7
Why The Seat In Front Reclines Into Your Knees,Airports,9.1
Why Every Elevator Has A Mirror,Design,8.8
Why Every Hotel Room Feels Familiar,Design,9.2
Why Casinos Have No Windows Or Clocks,Design,8.6
Why Bathroom Stall Doors Have A Gap,Design,9.4
Why Hotel Pillows Are Too Big,Design,9.1
Why Escalator Handrails Move Faster Than The Steps,Design,8.7
Why Hotel Hallways Feel Endless,Design,9.4
Why Mall Layouts Make You Lose Direction,Design,8.7
Why IKEA Forces You Through The Whole Store,Design,8.9
Why Hotel Sheets Are Always White,Design,8.6
Why Public Benches Have Armrests In The Middle,Design,8.9
Why Traffic Lights Are Red Yellow Green,Design,9.2
Why Door Handles Are At The Same Height Everywhere,Design,8.7
Why Stairs Feel Wrong When One Is The Wrong Height,Design,9.0
Why Crosswalk Buttons Often Do Nothing,Design,9.0
Why Office Lights Are Always Too Bright,Design,9.5
Why Hotel Showers Are So Confusing,Design,8.7
Why Park Paths Curve Instead Of Going Straight,Design,9.4
Why Keyboards Aren't In Alphabetical Order,Design,8.9
Why Stop Signs Are Octagons,Design,9.4
Why Manholes Are Round,Design,9.6
Why Elevator Close Buttons Often Don't Work,Design,9.4
Why Restaurant Lighting Is Always Dim,Design,9.0
Why Gas Station Canopies Are So Tall,Design,9.3
Why Library Floors Are So Quiet,Design,9.0
Why Hospital Walls Are That Specific Green,Design,9.4
Why Your Phone Dies Faster In The Cold,Technology,9.6
Why WiFi Slows Down When People Visit,Technology,9.4
Why Websites Beg You To Accept Cookies,Technology,9.5
Why Apps Always Want Notification Permission,Technology,8.8
Why YouTube Autoplays The Next Video,Technology,9.9
Why Netflix Asks If You're Still Watching,Technology,9.5
Why Phone Chargers Break At The Same Spot,Technology,9.4
Why Autocorrect Changes The Right Word,Technology,9.4
Why Passwords Need A Symbol Now,Technology,9.5
Why Your Phone Slows Down After A Year,Technology,9.1
Why The Loading Bar Always Sticks At 99 Percent,Technology,9.3
Why Apps Update Constantly,Technology,9.4
Why Your Screen Cracks On The First Drop,Technology,9.2
Why Bluetooth Disconnects At The Worst Time,Technology,9.3
Why Printers Never Work When You Need Them,Technology,9.6
Why The Unsubscribe Button Is Hidden,Technology,9.4
Why Free Trials Need Your Card,Technology,9.6
Why Cancel Buttons Are Grey And Hard To Find,Technology,8.7
Why Online Stores Say Only 2 Left,Technology,9.0
Why Ads Are Louder Than The Video,Technology,9.2
Why Your Battery Drops From 20 To Dead Instantly,Technology,9.0
Why Captchas Are Getting Harder,Technology,9.4
Why Websites Remember You Forever,Technology,8.9
Why Terms And Conditions Are So Long,Technology,9.3
Why Streaming Buffers At The Best Scene,Technology,8.8
Why Phone Screens Are Getting Bigger,Technology,8.9
Why Gas Pumps Click Off On Their Own,Cars,8.9
Why Red Lights Always Catch You,Cars,9.5
Why Side Mirrors Say Objects Are Closer,Cars,8.7
Why Parking Lots Make You Walk So Far,Cars,8.9
Why Your Car Beeps For Everything,Cars,9.3
Why Highway Gas Is More Expensive,Cars,9.0
Why Speed Bumps Feel Different Every Time,Cars,9.2
Why Steering Wheels Are Round,Cars,9.3
Why Wipers Suddenly Squeak,Cars,9.5
Why Every New Car Looks The Same,Cars,9.0
Why Headlights Are So Bright Now,Cars,8.9
Why Cars Have A Fake Engine Sound,Cars,8.9
Why The Fuel Gauge Drops Faster Near Empty,Cars,9.4
Why Roundabouts Confuse Everyone,Cars,9.2
Why Traffic Jams Appear Out Of Nowhere,Cars,9.2
Why The Slow Lane Moves Faster Sometimes,Cars,8.7
Why Car Alarms Never Stop Anyone,Cars,9.4
Why New Cars Smell That Way,Cars,9.4
Why Tires Are Always Black,Cars,9.4
Why The Turn Signal Clicks,Cars,8.9
Why You Get Goosebumps When You're Cold,Body,9.6
Why Your Foot Falls Asleep,Body,9.9
Why Onions Make You Cry,Body,9.0
Why Your Fingers Wrinkle In Water,Body,9.1
Why Your Eye Twitches Randomly,Body,9.5
Why Stretching Feels So Good,Body,9.1
Why You Shiver When You're Cold,Body,9.7
Why You Get Hiccups,Body,9.2
Why Spicy Food Feels Hot,Body,8.6
Why You Yawn When You're Tired,Body,9.0
Why Your Stomach Growls,Body,9.7
Why You Sneeze In Bright Light,Body,9.1
Why Your Ears Pop On A Plane,Body,9.2
Why You Get A Brain Freeze,Body,9.8
Why Your Mouth Waters Before You're Sick,Body,9.6
Why You Blush When Embarrassed,Body,9.1
Why Your Voice Sounds Different On Recordings,Body,9.9
Why You Get Butterflies When Nervous,Body,9.1
Why Cuts On Your Fingers Hurt More,Body,9.4
Why You Can't Stop Once You Start Scratching,Body,9.4
Why Videos Buffer At The Worst Moment,Internet,9.3
Why Ads Get Louder Than Everything,Internet,8.9
Why You Can't Find The Close Button On Ads,Internet,9.5
Why Websites Fake A Countdown Timer,Internet,9.4
Why Comment Sections Turn Toxic,Internet,9.6
Why You Doomscroll Past Your Bedtime,Internet,9.9
Why Online Arguments Never End,Internet,8.9
Why Clickbait Always Works On You,Internet,9.3
Why Notifications Are Red,Internet,8.7
Why You Refresh A Page That Just Loaded,Internet,9.5
Why Group Chats Move Too Fast To Follow,Internet,9.1
Why Reaction Videos Get So Many Views,Internet,9.5
Why You Watch One More Short Every Time,Internet,9.5
Why Recommended Videos Know You Too Well,Internet,9.2
Why Subscribe Buttons Pulse And Bounce,Internet,8.9
Why Free Apps Make The Most Money,Internet,9.2
Why Pop Ups Wait Until You're Reading,Internet,9.0
Why Search Results Are All Ads First,Internet,8.8
Why Sales Tax Isn't On The Price Tag,Money,8.8
Why Tipping Screens Now Start At 20 Percent,Money,8.8
Why Subscriptions Are Easy To Start And Hard To Cancel,Money,8.9
Why Coins Are Different Sizes,Money,8.8
Why Banks Are Open Bankers Hours,Money,9.1
Why Lottery Jackpots Roll Over,Money,8.7
Why ATMs Charge You To Get Your Own Money,Money,9.7
Why Prices End In Nine Not Zero,Money,8.6
Why Gift Cards Are A Goldmine For Stores,Money,9.1
Why Credit Cards Give You Points,Money,9.4
Why Rent Is Due On The First,Money,8.7
Why Gym Memberships Are Hard To Quit,Money,8.8
Why Airlines Change Prices When You Search Twice,Money,9.2
Why Free Shipping Has A Minimum,Money,9.6
Why Bundles Feel Cheaper Than Buying One,Money,9.0
Why Cash Feels Harder To Spend Than Card,Money,9.2
Why Charities Ask For A Specific Amount,Money,9.2
Why Mortgages Last Thirty Years,Money,9.1
Why Awkward Silences Feel So Long,Social,8.8
Why You Wave Back At Someone Waving Past You,Social,9.6
Why People Interrupt Each Other Constantly,Social,9.5
Why You Mirror The Person You're Talking To,Social,9.8
Why Nobody Helps In A Big Crowd,Social,8.7
Why You Talk Louder In A Noisy Room,Social,9.5
Why First Impressions Stick So Hard,Social,9.4
Why You Like People Who Agree With You,Social,9.1
Why Groups Make Riskier Decisions,Social,9.3
Why You Laugh Harder With Friends,Social,9.3
Why Eye Contact Feels So Intense,Social,9.1
Why You Copy The Accent Of People Around You,Social,9.5
Why Compliments Feel Awkward To Accept,Social,9.5
Why You Remember Insults More Than Praise,Social,9.3
Why Small Talk Always Starts With Weather,Social,8.7
Why You Feel Closer After Sharing A Secret,Social,9.7
Why Crowds Move Like A Single Organism,Social,9.2
Why You Trust Tall People More,Social,9.7
